Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Best Western Plus - Dryden,349 Government St,,Dryden,ON,P8N 2P4,,807-223-3201,E,,Public,24 hours daily; reserved for guest use,,,,,,1,,,Non-Networked,,200-9,49.78736,-92.83394,2022-04-13,82937,2023-03-29 19:16:05 UTC,P,,,2015-09-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western Plus- Brant Park Inn,19 Holiday Dr,,Brantford,ON,N3R 7J4,,519-753-8651,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.163715,-80.240786,2022-04-13,82939,2023-03-29 20:00:29 UTC,P,,,2013-05-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Best Western Kingston - Fireside,1217 Princess St,,Kingston,ON,K7M 3E1,,613-549-2211,E,,Public,24 hours daily; for guest use only; see front desk for access,,,,,,1,,,Non-Networked,,200-9,44.246733,-76.522762,2023-04-05,82944,2023-04-10 20:30:18 UTC,P,,,2013-10-15,,,,,J1772,CA,,24 heures par jour; Ã  l'usage des clients seulement; rendez-vous Ã  la réception pour avoir accès,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western Plus - City Centre,1274 Carling Ave,,Ottawa,ON,K1Z 7K8,,613-728-1951,E,,Public,24 hours daily; for client use only,,,,,,1,,,Non-Networked,,200-9,45.385821,-75.732949,2024-01-12,82952,2024-01-12 14:23:28 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; à l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western Plus - Mariposa Inn,400 Memorial Ave,,Orillia,ON,L3V 6J3,,705-325-9511,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,44.589674,-79.422767,2024-01-12,82956,2024-01-12 14:23:28 UTC,P,,,2015-02-15,,,,,J1772,CA,,24 heures par jour; À l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western Plus - Milton,161 Chisholm Dr,,Milton,ON,L9T 4A6,,905-875-3818,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,43.525871,-79.907297,2022-02-10,82957,2023-03-02 15:06:21 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; rÃ©servÃ© pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western Plus - Nor'Wester Hotel,2080 Highway 61,,Thunder Bay,ON,P7J 1B8,,807-473-9123,E,,Public,24 hours daily; For guest use only,,,,,,1,,,Non-Networked,,200-9,48.316269,-89.359761,2022-04-13,82958,2023-03-29 19:52:10 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; Pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,City of Brampton - Civic Centre,185 Clark Blvd,,Brampton,ON,L6T 4G6,,905-874-2001,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,43.705877,-79.724262,2019-04-09,82960,2021-06-07 17:08:43 UTC,LG,,,2015-03-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,false
ELEC,Canadian Tire,459 Welland Ave,,St. Catharines,ON,L2M 6P3,,905-688-0488,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.174539,-79.216334,2024-01-12,82965,2024-01-12 14:23:28 UTC,P,,,2014-04-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Canadian Tire,811 Durham St,,Kincardine,ON,N2Z 3B8,,519-395-2886,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,44.172474,-81.61544,2023-04-05,82969,2023-04-10 20:30:18 UTC,P,,,2014-05-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Comfort Inn,20 Samnah Cres,,Ingersoll,ON,N5C 3J7,,519-425-1100,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.015685,-80.876688,2022-02-10,82974,2023-03-31 14:31:26 UTC,P,,,2014-10-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Crabby Joe's,58 Main St N,,Exeter,ON,N0M 1S3,,519-235-1400,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,43.35791,-81.482192,2023-04-05,82981,2023-04-10 20:30:18 UTC,P,,,2017-01-31,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Diffraction Limited,59 Grenfell Cres,,Ottawa,ON,K2G 0G3,,613-225-2732,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.320851,-75.722363,2024-01-12,82984,2024-01-12 14:23:28 UTC,P,,,2013-02-01,,,,,J1772,CA,,24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,MD,false
ELEC,Euro Parts,39822 Belgrave Rd,,Belgrave,ON,N0G 1E0,,800-678-8352,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.821246,-81.376017,2023-04-05,82987,2023-04-10 20:30:18 UTC,P,,,2014-04-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,AUTO_REPAIR,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Duliban Insurance Brokers,56 Main St W,Behind the building which has a very narrow entrance,Grimsby,ON,L3M 4G1,,905-945-5311,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.194314,-79.562164,2023-02-09,82992,2023-04-10 20:30:18 UTC,P,,,2012-06-15,,,,,J1772,CA,A l'arrière du batiment avec une entrée très atroite,24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,George Brown College,51 Dockside Dr,,Toronto,ON,M5A 1B6,,416-398-4052,E,,Public,24 hours daily; parking fee required,,,,,,5,,,Non-Networked,,200-9,43.643949,-79.365472,2023-04-05,82997,2023-04-10 20:30:18 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; frais de stationnement requis,,Public,,public,,,PAY_GARAGE,,,,,,,$2 per hour and parking fee; $6 flat rate for overnight,2 $ l’heure et frais de stationnement; taux fixe de 6 $ pour le financement à un jour,,,,,,,,,false,,,,,,,,LD,false
ELEC,Halfway Motors Nissan,940 Memorial Ave,,Thunder Bay,ON,P7B 4A2,,807-345-2327,E,,Public - Call ahead,"9am-7pm M-F, 9am-4pm Sat",,,,,,1,,,Non-Networked,,200-8,48.409754,-89.245492,2022-03-04,83011,2022-04-26 16:04:15 UTC,P,,,2017-02-01,,,,,J1772,CA,,"9:00-19:00 LUN-VEN, 9:00-16:00 SAM",,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Town of Hanover - Heritage Square Park,358 10th St,Located on west side of park,Hanover,ON,N4N 1P5,,519-364-2780,E,,Public,24 hours daily,CREDIT M V,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.150027,-81.016822,2023-04-05,83014,2024-01-18 15:30:22 UTC,P,,,2014-05-21,,,,,J1772,CA,Située sur le côté ouest du parc,Accessible 24 heures par jour,,Public,,public,,,PARKING_LOT,,,,,,,Free; $2.50 parking fee after 120 minutes,"Gratuit; frais de stationnement de 2,50$ après 120 minutes",,,,,,,,,false,,,,,,,,HD,true
ELEC,Harbour House Hotel,85 Melville St,,Niagara-On-The-Lake,ON,L0S 1J0,,905-468-4683,E,,Public,24 hours daily; for guest use only,,,,,,3,,,Non-Networked,,200-9,43.255276,-79.064583,2024-01-12,83018,2024-01-12 14:23:28 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Highland Ford,68 Great Northern Rd,,Sault Ste. Marie,ON,P6B 4Y8,,705-759-5050,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,46.526649,-84.31941,2024-01-12,83019,2024-01-12 14:23:28 UTC,P,,,2012-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,MD,true
ELEC,Homewood Suites by Hilton,45 Benjamin Rd,,St. Jacobs,ON,N2V 0C6,,519-514-0088,E,,Public,24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,200-9,43.507344,-80.552876,2024-01-12,83021,2024-01-12 14:23:28 UTC,P,,,2014-07-15,,,,,J1772,CA,,24 heures par jour; À  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false
ELEC,IKEA,1065 Plains Rd E,,Burlington,ON,L7T 4K1,,905-681-5531,E,,Public,24 hours daily,,,,,,,4,,Non-Networked,,200-9,43.328164,-79.828969,2022-12-12,83023,2023-04-10 20:30:18 UTC,P,,,2017-02-01,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Ann & Samuel Sterne Municipal Parking Lot,7 Timothy St,,Bolton,ON,L7E 1B9,,905-584-2272,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.88003,-79.739188,2023-04-05,83037,2023-04-10 20:30:18 UTC,SG,,,2015-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,PARKING_LOT,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Aurora Community Centre,1 Community Centre Ln,,Aurora,ON,L4G 7B1,,905-841-2371,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,44.003984,-79.471971,2018-03-29,83090,2021-06-07 17:08:43 UTC,P,,,2013-10-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,true
ELEC,Best Western Plus - Ottawa Kanata,1876 Robertson Rd,,Ottawa,ON,K2H 5B8,,613-828-2741,E,,Public,24 hours daily; for guest use only,,,,,,1,,,OpConnect,http://www.opconnect.com/,200-9,45.326802350793336,-75.8202271089862,2024-01-12,83100,2024-01-16 21:47:09 UTC,P,,,2008-03-10,,,,,J1772,CA,,24 heures par jour; Pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - St. Catharines Hotel & Conference Centre,2 N Service Rd,,St. Catharines,ON,L2N 4G9,,905-934-8000,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-8,43.177755,-79.249205,2024-01-12,83106,2024-01-12 14:23:28 UTC,P,,,2014-06-15,,,,,J1772,CA,,24 heures par jour; À l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - Stoneridge Inn,6675 Burtwistle Ln,,London,ON,N6L 1H5,,519-652-6022,E,,Public - Card key at all times,24 hours daily; see front desk for key card,,,,,,1,,,Non-Networked,,200-9,42.8507,-81.2759,2023-04-05,83109,2023-04-10 20:30:18 UTC,P,,,2017-02-27,,,,,J1772,CA,,24 heures par jour; voyez la réception pour la carte-clé,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Best Western - The Royal Oak Inn,35 Hart Dr,,Barrie,ON,L4N 5M3,,705-721-4848,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,44.380421,-79.708125,2023-04-05,83113,2023-04-10 20:30:18 UTC,P,,,2014-09-15,,,,,J1772,CA,,24 heures par jour; des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Gus Revenberg Chevrolet Buick GMC,10150 Tecumseh Rd E,,Tecumseh,ON,N8R 1A2,,519-979-2800,E,,Public - Call ahead,Dealership business hours,,,,,,,1,,Non-Networked,,200-8,42.314019,-82.916044,2022-03-04,83124,2022-04-26 16:04:15 UTC,P,,,2013-08-15,,,,,J1772COMBO,CA,,Heures d'ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Tru-Nor Truck Centre,1035 Falconbridge Rd,,Sudbury,ON,P3A 4M9,,705-560-6625 x209,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,46.520264,-80.92157,2024-01-12,83130,2024-01-12 14:23:28 UTC,P,,,2015-06-15,,,,,TESLA,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Island Lake Conservation Area,673067 Hurontario St S,"One charger is in Parking Lot 1, one charger is in Parking Lot 2",Orangeville,ON,L9W 2Y9,,519-941-6329,E,,Public,8am-6pm daily,,,,,,2,,,Non-Networked,,GPS,43.93410992348289,-80.08043854226685,2024-01-12,83133,2024-01-12 14:23:28 UTC,P,,,2015-02-01,,,,,J1772,CA,"Une borne est située au Parking 1, une est située au Parking 2",8:00-18:00 tous les jours,,Public,,public,,,PARK,,,,,,,Free in Parking Lot 1; $1.80 per hour in Parking Lot 2,"Gratuit au Parking 1; 1,80$ par heure au Parking 2",,,,,,,,,false,,,,,,,,MD,false
ELEC,Jim Wilson Chevrolet Buick GMC,20 Mulcahy Ct,,Orillia,ON,L3V 8B3,,705-329-2000,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,44.608581,-79.447177,2024-01-12,83134,2024-01-12 14:23:28 UTC,P,,,2010-06-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Kemptville Bowling Lanes,291 County Rd 44,,Kemptville,ON,K0G 1J0,,613-258-3121,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.02272,-75.653418,2023-04-05,83138,2023-04-10 20:30:18 UTC,P,,,2014-06-15,,,,,J1772,CA,,24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,REC_SPORTS_FACILITY,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,La Place Rendez-Vous,1201 Idylwild Dr,,Fort Frances,ON,P9A 3M3,,807-274-9811  800-544-9435,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,48.617818,-93.358859,2023-03-08,83145,2023-04-10 20:30:18 UTC,P,,,2015-01-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,La Primavera Hospitality & Convention Centre,77 Woodstream Blvd,,Vaughan,ON,L4L 7Y6,,905-265-8100,T,2018-02-27,TEMPORARILY UNAVAILABLE (Public),,,,,,,1,,,Non-Networked,,200-9,43.774905,-79.60358,2017-05-11,83156,2021-03-31 21:06:29 UTC,P,,,,,,,,J1772,CA,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,RESTAURANT,,,,,,,,,,,,,,,,,false,,,,,,,,,false
ELEC,Ken Knapp Ford,390 Talbot Rd N,,Essex,ON,N8M 2X5,,,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-8,42.183564,-82.83277,2022-04-13,83160,2022-04-26 16:04:15 UTC,P,,,2016-12-01,,,,,J1772,CA,,24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Lake Shore Motors,1155 Government Rd,,West Kirkland Lake,ON,P2N 3K4,,705-567-9271,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.131962,-80.067984,2022-03-04,83162,2022-04-26 16:04:15 UTC,P,,,2013-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Laura Secord Homestead,29 Partition St,,Queenston,ON,L0S 1L0,,877-642-7275  905-356-2241,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-9,43.16418,-79.055564,2023-01-12,83182,2024-01-04 21:55:40 UTC,P,,,2011-04-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,MUSEUM,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Leader Resources,147 Mahood Johnston Dr,,Kincardine,ON,N2Z 3A2,,519-396-3540,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,44.16179,-81.64969,2023-04-05,83184,2023-04-10 20:30:18 UTC,P,,,2015-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,LCBO,74 Thickson Rd S,,Whitby,ON,L1N 7T2,,905-665-3244,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,43.883827,-78.912441,2023-04-05,83186,2023-04-10 20:30:18 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,McGavin's Farm Equipment,83145 Brussels Line,,Walton,ON,N0K 1Z0,,519-887-6365,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,43.683924,-81.298541,2022-03-04,83191,2022-04-26 16:04:15 UTC,P,,,2014-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,HD,false
ELEC,Microtel Inn & Suites,17 rue Industriel,,Casselman,ON,K0A 1M0,,613-427-3550,E,,Public,24 hours daily; guest use only,,,,,,1,,,Non-Networked,,GPS,45.30592714790124,-75.07934774603274,2022-04-13,83196,2022-04-28 20:01:31 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; usage invité uniquement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,,,,,LD,false
ELEC,Middlesex Centre Wellness & Recreation Complex,1 Tunks Ln,,Komoka,ON,N0L 1R0,,519-601-8022,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,42.951445,-81.422658,2019-11-08,83198,2021-06-07 17:08:43 UTC,P,,,2013-07-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,false
ELEC,Middlesex County Public Library,147 Main St,,Ailsa Craig,ON,N0M 1A0,,519-294-6244 x205,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,43.165198,-81.851981,2023-04-05,83199,2023-04-10 20:30:18 UTC,LG,,,2016-01-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,LIBRARY,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
